"PMID","Year","Title","Abstract","FirstAuthor"
"41979465","2026","Automated Cardiac Arrest Detection Using Wrist-Worn Photoplethysmography: External Validation in Patients With Induced Shockable Cardiac Arrest (DETECT-1b).","N/A","Edgar Roos"
"41953997","2026","Delivery System Support Prevents Endocardial Entanglement and Delamination During Left Bundle Branch Area Pacing.","The mechanisms behind endocardial entanglement and resultant delamination during left bundle branch area pacing, as well as potential solutions, have not been fully demonstrated in the human heart. Active fixation of a lumenless screw-in lead into the right ventricular septum was attempted with or without delivery system support using donor human hearts rejected for transplant. Delivery sheath support was ensured through firm catheter support maintained by a fixed clip. Endocardial entanglement, endocardial delamination after unscrewing, and lead penetration were evaluated using both macroscopic and microscopic analyses. Each of 10 lead deployments with or without support was attempted using 4 donor human hearts. There was a higher incidence of endocardial entanglement and resultant helix-only penetration in the nonsupport group than the support group (70% versus 0%). Unscrewing after the endocardial entanglement consistently revealed extensively delaminated endocardium entwined around the helix. The median endocardial delamination area was larger in the entanglement group than in the nonentanglement group (25.0 mmversus 0.9 mm,<0.001). In the regions with endocardial entanglement, histological analysis confirmed extensive endocardial delamination with minimal myocardial injury. On the other hand, localized endocardial delamination and deep intramural penetration were observed in the regions without entanglement. Screw-in procedures reattempted into the regions with extensive endocardial delamination following entanglement achieved deep penetration even without delivery system support. Endocardial entanglement and delamination were confirmed in donor human hearts. Adequate delivery system support, particularly its coaxiality and counterforce effect, is likely to prevent endocardial entanglement and facilitate effective penetration of a lumenless screw-in lead into the human ventricular septum.","Miyazaki Yuichiro"
"41431897","2025","Convolutional Neural Network Models Leverage Morphological Rather Than Temporal Features to Detect Myocardial Diseases From 12-Lead Electrocardiograms.","N/A","Nakayama Masamitsu"
"41078115","2025","Relations of AI-Vascular Age Estimated From a Peripheral Pressure Waveform With Incident Atrial Fibrillation: The Framingham Heart Study.","N/A","Korzinski Timothy J"
"41025252","2025","Prediction of Atrial Fibrillation From the ECG in the Community Using Deep Learning: A Multinational Study.","We aimed to refine and validate a deep neural network model from the ECG to predict atrial fibrillation (AF) risk, using samples from diverse backgrounds: the Framingham Heart Study (FHS), UK Biobank, and Estudo Longitudinal da Saúde do Adulto (ELSA-Brasil). We compared the model's performance to the clinical Cohorts for Heart and Aging Research in Genomic Epidemiology consortium (CHARGE-AF) risk score and evaluated the association with other cardiovascular outcomes. The ECG-derived deep-learning prediction of AF (ECG-AF) model was refined using 60% of FHS samples free of AF. Its performance was then tested in the remaining FHS samples, UK Biobank, and ELSA-Brasil, with discrimination assessed by the area under the receiver operating characteristic curve. The association of ECG-AF with cardiovascular outcomes was assessed using Cox proportional hazards models. The study sample included 10 097 FHS participants (mean age 53±12 years; 54.9% women), 49 280 participants from the UK Biobank (mean age 64±8 years, 47.9% women), and 12 284 participants from ELSA-Brasil (mean age 53±8 years, 54.7% women). The ECG-AF model showed moderate discrimination for incident AF (area under the curve, 0.82 [95% CI, 0.80-0.84]) in the FHS, comparable to the CHARGE-AF score (area under the curve, 0.83 [95% CI, 0.81-0.85]), and incremental when combined (area under the curve, 0.85 [95% CI, 0.83-0.87]). In UK Biobank and ELSA-Brasil, combining ECG-AF and CHARGE also improved prediction. Higher ECG-AF scores were associated with increased risks of heart failure, myocardial infarction, stroke, and all-cause mortality in all 3 cohorts. In multinational cohort studies, the single-input ECG-AF deep neural network model demonstrated good performance in predicting AF and other cardiovascular outcomes, comparable to a multivariable clinical risk score, with improved performance when combined.","Brant Luisa C C"
"40874313","2025","Characteristics of Different Ventricular Electrogram Morphologies in Selective Left Bundle Branch Pacing.","N/A","Wang Dongjuan"
"40856041","2025","Deep Learning Can Unmask Conduction Tissue Disease From an Ambulatory ECG.","Bradyarrhythmia is a common and potentially serious cause of syncope, often difficult to detect due to its intermittent nature. Traditional ECG monitoring methods either provide low diagnostic accuracy or delay diagnosis, increasing the risk of recurrence. We hypothesized that a deep learning-enabled, 24-hour, single-lead ECG could detect past episodes of bradyarrhythmia. Using unselected 14-day single-lead ambulatory ECG recordings, we developed a deep learning model to identify patients with prior asystole from sinus arrest or complete heart block. The model was trained using the last 24 hours of each recording, free of bradyarrhythmias, to identify daytime sinus pause of ≥3 s, anytime sinus pause of ≥6 s, complete heart block, or a composite of these bradyarrhythmias from the previous 13 days. A total of 320 959 unselected 14-day ambulatory ECG recordings (mean age, 60.5±17.8 years; 60% female) were split into training (n=189 414), tuning (n=45 982), internal validation (n=43 390), and external validation (n=42 173) sets. External validation of prior daytime sinus pause ≥3 s, anytime sinus pause ≥6 s, complete heart block, and a composite end point demonstrated an area under the receiver operating characteristic curve of 0.89, 0.87, 0.93, and 0.89, respectively, with negative predictive values between 97.9 and 99.9%. In addition to this approach of uncovering past events, our model was also tested for its ability to predict bradyarrhythmias within the following 13 days using the first 24 hours of ECG data, achieving an AUC of 0.88 for the composite end point. A deep learning-enabled ambulatory ECG is capable of unmasking underlying conduction tissue system disease. This tool may help identify patients with significant intermittent bradyarrhythmia, potentially improving timely diagnosis and management.","Fiorina Laurent"
"40843508","2025","Clinical Outcomes of Right Ventricular Apical, Septal, and Conduction System Pacing in the Medicare Population.","N/A","Vijayaraman Pugazhendhi"
"40709465","2025","Machine Learning Identification of Athlete Sport Type Through ECG Analysis.","N/A","Cofer Lucas B"
"39925268","2025","Comparing Phenotypes for Acute and Long-Term Response to Atrial Fibrillation Ablation Using Machine Learning.","It is difficult to identify patients with atrial fibrillation (AF) most likely to respond to ablation. While any arrhythmia patient may recur after acutely successful ablation, AF is unusual in that patients may have long-term arrhythmia freedom despite a lack of acute success. We hypothesized that acute and chronic AF ablation outcomes may reflect distinct physiology and used machine learning of multimodal data to identify their phenotypes. We studied 561 consecutive patients in the Stanford AF ablation registry (66±10 years, 28% women, 67% nonparoxysmal), from whom we extracted 72 data features of electrograms, electrocardiogram, cardiac structure, lifestyle, and clinical variables. We compared 6 machine learning models to predict acute and long-term end points after ablation and used Shapley explainability analysis to contrast phenotypes. We validated our results in an independent external population of n=77 patients with AF. The 1-year success rate was 69.5%, and the acute termination rate was 49.6%, which correlated poorly on a patient-by-patient basis (φ coefficient=0.08). The best model for acute termination (area under the curve=0.86, Random Forest) was more predictive than for long-term outcomes (area under the curve=0.67, logistic regression;<0.001). Phenotypes for long-term success reflected clinical and lifestyle features, while phenotypes for AF termination reflected electrical features. The need for AF induction predicted both phenotypes. The external validation cohort showed similar results (area under the curve=0.81 and 0.64, respectively) with similar phenotypes. Long-term and acute responses to AF ablation reflect distinct clinical and electrical physiology, respectively. This de-linking of phenotypes raises the question of whether long-term success operates through factors such as attenuated AF progression. There remains an urgent need to develop procedural predictors of long-term AF ablation success.","Ganesan Prasanth"
"39840428","2025","Complete Left Bundle Branch Block WithPattern and Long-Term Outcomes.","N/A","Hu Su"
"39676642","2024","Engineering of Generative Artificial Intelligence and Natural Language Processing Models to Accurately Identify Arrhythmia Recurrence.","Large language models (LLMs) such as Chat Generative Pre-trained Transformer (ChatGPT) excel at interpreting unstructured data from public sources, yet are limited when responding to queries on private repositories, such as electronic health records (EHRs). We hypothesized that prompt engineering could enhance the accuracy of LLMs for interpreting EHR data without requiring domain knowledge, thus expanding their utility for patients and personalized diagnostics. We designed and systematically tested prompt engineering techniques to improve the ability of LLMs to interpret EHRs for nuanced diagnostic questions, referenced to a panel of medical experts. In 490 full-text EHR notes from 125 patients with prior life-threatening heart rhythm disorders, we asked GPT-4-turbo to identify recurrent arrhythmias distinct from prior events and tested 220 563 queries. To provide context, results were compared with rule-based natural language processing and Bidirectional Encoder Representations from Transformer-based language models. Experiments were repeated for 2 additional LLMs. In an independent hold-out set of 389 notes, GPT-4-turbo had a balanced accuracy of 64.3%±4.7% out-of-the-box at baseline. This increased when asking GPT-4-turbo to provide a rationale for its answers, a structured data output, and in-context exemplars, to a balanced accuracy of 91.4%±3.8% (<0.05). This surpassed the traditional logic-based natural language processing and BERT-based models (<0.05). Results were consistent for GPT-3.5-turbo and Jurassic-2 LLMs. The use of prompt engineering strategies enables LLMs to identify clinical end points from EHRs with an accuracy that surpassed natural language processing and approximated experts, yet without the need for expert knowledge. These approaches could be applied to LLM queries for other domains, to facilitate automated analysis of nuanced data sets with high accuracy by nonexperts.","Feng Ruibin"
