PMID,Year,Title
42179284,2026,"Electromagnetic interference safety margins of cardiac implantable electronic devices from electric vehicle charging stations."
42176324,2026,"More Than an OPTION: Left Atrial Appendage Closure Beyond High Bleeding Risk in the post-ablation setting."
42175819,2026,"Incidence and predictors of major arrhythmic events after myocarditis: a systematic review and meta-analysis."
42153480,2026,"Nationwide trends in pediatric pacemaker implantation in France, 2014-2024."
42152787,2026,"Female sex-related stroke risk in patients with atrial flutter - Comparison between CHA2DS2-VA and CHA2DS2-VASc scores."
42152781,2026,"Influence of Dielectric Perfusate on pulsed-field ablation-Induced Hemolysis."
42152765,2026,"Conduction System Pacing for Cardiac Resynchronization Therapy - A Systematic Review."
42145267,2026,"Sensor detection and pacing for impending reflex syncope."
42141907,2026,"Pre-clinical Impact of Higher Irrigation Flow Rates during Pulsed Field Ablation with a Variable Loop Circular Catheter."
42140624,2026,"Improvement in cardiovascular function after atrial fibrillation ablation in heart failure: association with ECG and echocardiographic variables."
42138650,2026,"Incidence and Type of Recurrent Ventricular Arrhythmia in Patients with Arrhythmic Mitral Valve Prolapse and Implantable Cardioverter Defibrillator for Secondary Prevention."
42138155,2026,"Comprehensive assessment of novel cardiovascular biomarkers in AF."
42135825,2026,"Alcohol Consumption and Risk of Atrial Fibrillation: A Pairwise and Network Meta-Analysis."
42134813,2026,"Correction to: Post-pacing interval after failed anti-tachycardia pacing for scar-related ventricular tachycardia: implications for the location of the critical substrate."
42134812,2026,"Machine learning prediction of outcome following pulsed-field atrial fibrillation ablation: patient selection and risk factors."
42134811,2026,"Artificial intelligence for patient selection in pulsed-field ablation: promise, pragmatism, and the need for standards."
42134810,2026,"Sudden cardiac arrest during endurance races: beyond final acceleration?"
42130274,2026,"Feasibility of hypnosis for analgosedation during atrial fibrillation ablation, including pulsed field and radiofrequency techniques: a pilot study."
42128494,2026,"Current practice in the management of syncope in Italian hospitals: a national survey."
42126846,2026,"Optimized Workflow for Pentaspline PFA and Its Impact on PVI Durability: Evidence From Systematic Remapping."
42116664,2026,"Different approaches to persistent and long-standing persistent atrial fibrillation ablation using pulsed field ablation: impact of procedural workflows on arrhythmia termination."
42116662,2026,"Pulsed Field Ablation versus Thermal Ablation for Pulmonary Vein Isolation: A Network Meta-Analysis of Randomized Controlled Trials."
42114100,2026,"Ventricular conduction is a marker for arrhythmic risk in SCN5A-E1784K overlap sodium channel disease."
42114085,2026,"Differences in Functional Block During Extrastimulation from the Right Atrial Appendage and Bachmann Bundle Region; a Potential Mechanism of Observed Anti-Fibrillatory Effects of Bachmann Bundle Pacing."
42114083,2026,"Left Atrial Mechanics Following Left Bundle Branch Area Pacing Versus Non-Conduction System Pacing After Atrioventricular Node Ablation in Atrial Fibrillation."
42097581,2026,"Pulmonary sinus cusp-inclusive mapping and ablation for paediatric right ventricular outflow tract ventricular arrhythmias."
42097576,2026,"Safety and effectiveness of the TactiFlex duo system: 6-month results of the FOCALFLEX study."
42090354,2026,"Correction to: Clinical profile and prognosis of brugada syndrome SCN5A variant carriers with negative sodium channel blocker challenge."
42085561,2026,"Optimal pace timing for left bundle branch area pacing with or without an additional LV lead: results from the CSPOT study."
42084600,2026,"Can we rely on remote electrogram analysis to monitor long-term conduction system capture in left bundle branch area pacing?"
42082434,2026,"Value of fRagmented atrial electrOgrams and intracardiac echocardiography for identification of optiMal sites for radio-frequency delivery during cArdioneuroablation for asystolic reflex syNcope: the ROMAN 5 study."
42048541,2026,"Comparison of the effectiveness and safety of dronedarone and amiodarone for preventing recurrence after catheter ablation of atrial fibrillation: an open-label randomized controlled trial."
42047478,2026,"Transseptal access with an electrified guidewire and large pulsed field ablation sheath."
42047477,2026,"Leadless atrial versus transvenous pacing for sinus node dysfunction: 1-year outcomes from the leadless ARRIVE real-world study."
42046993,2026,"Circulating miR-10b-5p as a candidate biomarker of atrial fibrillation recurrence after catheter ablation: a two-phase translational study."
42028834,2026,"Adjunctive posterior wall ablation with a balloon-in-basket pulsed-field ablation catheter in atrial fibrillation: feasibility, safety, and insights into targeted lesion delivery from the VOLT CE Mark study."
42015515,2026,"The natural history of autosomal recessive atrial dilated cardiomyopathy associated with mutation of natriuretic peptide precursor A."
42015513,2026,"Differential effects of semaglutide and colchicine on atrial remodeling in rats with reduced ejection fraction after myocardial infarction."
42014044,2026,"Cardiac implantable electronic device malfunction after pulsed field ablation-insights from the MAUDE database."
41988709,2026,"Atrial fibrillation after cavotricuspid isthmus ablation for isolated typical atrial flutter: contemporary insights from a large global federated research network."
41984035,2026,"Intracardiac echocardiography-derived cavotricuspid isthmus morphology score for estimating procedural complexity in typical atrial flutter."
41978969,2026,"Lattice-tip vs. standard irrigated focal-tip catheter for radiofrequency ablation of the cavotricuspid isthmus - the LINEAR randomized trial."
41978355,2026,"Rural-urban disparities in atrial fibrillation-related diagnostic testing and medical procedures in Canada&#x2020;."
41973950,2026,"Intracardiac echocardiography during invasive electrophysiological procedures. A scientific statement of the European Heart Rhythm Association of the ESC, and the European Association of Percutaneous Cardiovascular Interventions of the ESC."
41973848,2026,"Impact of prophylactic protamine administration following atrial fibrillation ablation on vascular and pericardial complications."
41973847,2026,"Same-day discharge after electrophysiological and cardiac implantable electronic device procedures: a clinical consensus statement of the European Heart Rhythm Association (EHRA) and the Association of Cardiovascular Nursing & Allied Professions (ACNAP) of the ESC."
41973800,2026,"Digitally-Assisted Learning in Cardiac Electrophysiology and Cardiac Implantable Electronic Devices. A Scientific Statement of the European Heart Rhythm Association of the ESC."
41973790,2026,"Kidney disease increases the risk of cardiovascular events in patients with device-detected atrial fibrillation: NOAH-AFNET 6."
41968953,2026,"Pulsed Field Ablation for the Interventional Treatment of Atrial Fibrillation. A Scientific Statement of the European Heart Rhythm Association (EHRA) of the ESC, the Heart Rhythm Society (HRS), the Asia Pacific Heart Rhythm Society (APHRS), the Latin American Heart Rhythm Society (LAHRS) and the Canadian Heart Rhythm Society (CHRS)."
41968952,2026,"Pulsed field ablation: from technological breakthrough to structured clinical implementation-the role of the European Heart Rhythm Association."
41968105,2026,"Effectiveness of AF Pulsed Field Ablation With a Variable Loop Circular Catheter: 12-Month VARIPURE Results."
41967092,2026,"Accuracy of non-invasive electrocardiographic imaging in scar-dependent ventricular tachycardia: relationship to arrhythmogenic substrate and imaging defined scar."
41967087,2026,"Clinical characteristics, treatment, and outcomes in CIED-related vs. left-sided infective endocarditis: a nationwide study from the NIDUS registry."
41964166,2026,"Inflammation and day-to-day occurrence of atrial fibrillation."
41955579,2026,"Adverse outcomes due to atrioventricular synchrony loss induced by temporary VVI pacing in patients with pre-existing DDD stimulation: insights from a device recall scenario."
41955576,2026,"Transseptal puncture and catheter ablation of atrial fibrillation in patients with atrial septal occluder devices: procedural techniques and outcomes."
41955288,2026,"Temporal trends in the primary prevention of implantable cardioverter-defibrillator selection and long-term outcomes in patients with non-ischaemic dilated cardiomyopathy and ischaemic cardiomyopathy."
