"PMID","Year","Title","Abstract","FirstAuthor"
"42152765","2026","Conduction System Pacing for Cardiac Resynchronization Therapy - A Systematic Review.","Biventricular pacing (BVP) remains the standard method for delivering cardiac resynchronization therapy (CRT) in patients with heart failure (HF) and left bundle branch block (LBBB). Despite its established role, BVP is a non-physiological pacing approach and is limited by factors such as anatomical constraints of the coronary sinus and a substantial proportion of non-responders. Conduction system pacing (CSP), including His bundle pacing (HBP) and Left Bundle Branch area pacing (LBBAP), has emerged as a more physiological alternative aimed at optimizing CRT outcomes. Early studies suggest that CSP may achieve superior electro-mechanical ventricular synchrony compared with BVP. Nevertheless, evidence from large-scale randomized controlled trials remains scarce, and challenges related to procedural complexity and insufficient long-term outcome data currently prevent CSP from replacing BVP as the first-line CRT strategy. This systematic review synthesizes the existing literature on CSP in CRT, explores its potential applications across different clinical contexts, and discusses the ongoing controversies and future prospects of this evolving technique.","Fotos Georgios"
"42114083","2026","Left Atrial Mechanics Following Left Bundle Branch Area Pacing Versus Non-Conduction System Pacing After Atrioventricular Node Ablation in Atrial Fibrillation.","N/A","Zalaquett Ziad"
"42085561","2026","Optimal pace timing for left bundle branch area pacing with or without an additional LV lead: results from the CSPOT study.","This study aimed to determine optimal atrioventricular (AV) timing for left bundle branch area pacing (LBBAP) and optimal AV and interventricular (VV) timing for LBBAP optimized cardiac resynchronization therapy (LOT-CRT) to enhance the benefit of conduction system pacing.

Acute measurements of LV dP/dtmax and QRS duration were collected during sweeps of AV and VV delays during paired comparison of LBBAP, LOT-CRT, and biventricular pacing (BVP) in 48 CRT-indicated patients. Optimal AV delays were selected as the vertex of a parabolic model fit to the AV sweep results, obtained independently for LV dP/dtmax and QRS duration. LBBAP, LOT-CRT, and BVP were similarly sensitive to the choice of AV delay, and 60 ms deviations from optimal AV delay resulted in an approximately 30% reduction in the haemodynamic benefits of resynchronization. Based upon LV dP/dtmax measurements, the average optimal paced AV (PAV) for LBBAP (152 ms) was significantly shorter than that for LOT-CRT (171 ms, P < 0.01) or BVP (167 ms, P = 0.01). Based upon QRS duration, the average optimal PAV for LBBAP (164 ms) was similar to that for LOT-CRT (160 ms, P = 0.52) or BVP (165 ms, P = 0.95). For each resynchronization modality, a linear regression between the patient's measured intrinsic AV conduction and their optimal AV delay provided a patient-specific AV delay, resulting in improved AV selection compared to applying a fixed AV delay to all patients. Finally, simultaneous activation (VV = 0) was best for both LOT-CRT and BVP.

LBBAP, LOT-CRT, and BVP are similarly sensitive to AV-timing. Optimal AV delay is linearly related to intrinsic AV for each resynchronization modality. For LOT-CRT and BVP, simultaneous biventricular activation is best on average.

https://clinicaltrials.gov/study/NCT04905290.","Schaller Robert D"
"42084600","2026","Can we rely on remote electrogram analysis to monitor long-term conduction system capture in left bundle branch area pacing?","N/A","Pastore Gianni"
"41873929","2026","Promising advances and remaining challenges in AI-driven QTc estimation.","N/A","Yu Zekai"
"41873928","2026","Response to 'promising advances and remaining challenges in AI-driven QTc estimation' by Zekai Yu.","N/A","Plagwitz Lucas"
"41738436","2026","Left bundle branch area pacing vs. right ventricular pacing in post-transcatheter aortic valve implantation patients: a retrospective propensity-matched analysis.","N/A","Calovic Zarko"
"41700475","2026","Distinct intracardiac electrogram waveforms with perforation during left bundle branch area pacing implantation.","Perforation during left bundle branch area pacing (LBBAP) results in a fall in the current of injury (COI) amplitude in the unipolar unfiltered electrogram (iEGM), but systematic waveform analyses have not been performed. Our aim was to investigate unipolar iEGM waveforms during perforation and to compare them to those at the final lead position.

The iEGMS of consecutive patients who had perforation during LBBAP implantation were systematically analysed. A total of 92 patients with perforation were included. In the unfiltered channel, sensed COI amplitude was lower with perforation [3.0 (1.5-4.1) mV] than at the final lead position [14.0 (9.2-17.5) mV, P < 0.0001], as was also the case during pacing. Patients with narrow QRS/non-LBBB typically had wide negative (QS) waveforms during sensing (in 67% of cases), whereas those with LBBB/paced rhythm had positive (wide R/RS) morphologies (in 93% of cases). In the former subgroup, a sensed Q or S amplitude > COI amplitude (which is easy to eyeball during lead deployment) had a sensitivity of 86% and a specificity of 93% for diagnosing perforation. Waveforms during macroperforation (with loss of capture, n = 27) differed compared to microperforation (with preserved capture, n = 65), with significantly lower COI amplitudes, more frequent QS morphology, and rarer sharp multiphasic components in the ventriculogram of the filtered channel.

Beyond COI amplitude, additional iEGM waveform parameters may be used to evaluate the presence of LBBAP perforation and should be carefully monitored during lead deployment to improve safety.","Tolppanen Heli"
"41669820","2026","Artificial intelligence ECG localization facilitates focused activation mapping and improves outcomes in hemodynamically unstable ventricular tachycardia.","N/A","Ho Gordon"
"41589068","2026","Deep learning to predict left ventricular hypertrophy from the electrocardiogram.","Left ventricular hypertrophy (LVH) is a strong predictor of cardiovascular disease. We previously compared supervised machine learning techniques to classify cardiac magnetic resonance (CMR)-derived LVH using electrocardiogram (ECG) and clinical variables in 37 534 UK Biobank participants, obtaining an area under the receiving operating curve (AUROC) of 0.85, but with limited specificity and requiring external validation. In this study, we develop a deep learning (DL) model to improve classification with external evaluation in the Study of Health in Pomerania (SHIP).

We analysed 12-lead ECGs of 48 835 participants from the UK Biobank imaging study. The dataset was split into a training set (70%), validation set (15%), and test set (15%) for performance evaluation. The model architecture was a fully convolutional network, for which the input was the participants' median ECG and clinical variables and the predicted indexed left ventricular mass (iLVM) as the output. A subsequent logistic regression model was used to recalibrate iLVM predictions. In UK Biobank, 717 (1.5%) participants had CMR-derived LVH and the AUROC for the DL model was 0.97. The ECG components most predictive of LVH were the QRS complex and ventricular rate. The DL model outperformed our supervised algorithms, previous DL modelling efforts and clinical ECG benchmarks. There was modest generalizability of the DL model to 1423 participants in SHIP (AUROC 0.78), with differences in clinical profile, ECG acquisition, and CMR labelling as important factors.

Our findings support the feasibility of scalable DL-based screening tools for the prediction of LVH from the ECG, whilst highlighting the need for model development using larger datasets with greater diversity to ensure generalizability.","Naderi Hafiz"
"41546622","2026","Atrial fibrillation ablation using three-dimensional artificial intelligence module integration with intracardiac echocardiography.","Intracardiac echocardiography-based electroanatomical mapping (EAM) improves procedural efficiency and safety in atrial fibrillation (AF) ablation and remains the standard of care. The CARTOSOUND FAM (AI FAM) module uses a deep-learning algorithm that automates left atrial reconstruction without manual contouring. This study aims to evaluate the 1-year outcomes of AI FAM compared to standard-of-care EAM in AF ablation.

This study included 298 patients undergoing radiofrequency AF ablation between January 2021 and December 2023. Patients treated before January 2023 underwent standard-of-care EAM, while those in 2023 utilized AI FAM-based reconstruction. Baseline demographics, comorbidities, AF type, and medication use were recorded. Procedural characteristics, acute success, complications, and AF recurrence at 1-year follow-up were analysed. Of the 298 patients, 115 underwent mapping with AI FAM and 183 with EAM. Baseline characteristics were comparable. AI FAM reduced mean total procedure time (122.5 ± 23.5 vs. 129.0 ± 30.4 min, P = 0.040) and left atrial (LA) dwell time (78.3 ± 21.45 vs. 87.5 ± 28.2 min, P = 0.001). Acute procedural success was 98.3% in AI FAM vs. 98.9% in EAM with fewer complications observed in the AI FAM group (1 vs. 4). At 1 year, freedom from AF recurrence was comparable (80.0% AI FAM vs. 81.4% EAM at 1 year, LogRank P = 0.610).

AI FAM was associated with incremental but significant procedural advantages over conventional contouring via reduced total procedure time and LA dwell time, without compromising acute and long-term safety and rhythm control efficacy. AI FAM integration with pulsed field ablation will mark another step towards making AF ablation more streamlined and accessible.","Zou Fengwei"
"41512109","2026","Computer-aided characterization of the arrhythmogenic substrate after myocardial infarction.","Ventricular tachycardia (VT) and ventricular fibrillation remain major contributors to sudden cardiac death, with current therapies limited by our incomplete understanding of the arrhythmogenic substrate. This narrative review explores recent developments in computer-aided techniques for characterizing the arrhythmogenic substrate, focusing on post-myocardial infarction VT. High-resolution cardiac imaging now enables detailed visualization of structural abnormalities, including heterogeneous scar architecture and fatty infiltration. Sophisticated invasive mapping techniques provide insights into local electrophysiological properties, while novel non-invasive mapping approaches offer complementary views of global electrical patterns. Integration of these modalities through computational simulations allows for mechanistic insights into arrhythmia initiation and maintenance, particularly in post-myocardial infarction VT, where structural and functional substrates interact in complex ways. Emerging artificial intelligence applications enhance substrate analysis through automated feature extraction and pattern recognition, enabling more sophisticated risk stratification. These computer-aided approaches are advancing from research tools to clinical applications, with early evidence suggesting improved ablation outcomes and better risk prediction. However, significant challenges remain in validation, standardization, and clinical implementation of these innovations. This narrative review highlights recent methodological advances and clinical applications of computer-aided substrate characterization, and conceptualizes future directions towards personalized arrhythmia management, also beyond post-infarction VTs.","Kloosterman Manon"
"41433135","2025","Controversy: in heart failure patients with a reduced ejection fraction and left bundle branch block, conduction system pacing can be a valid alternative to biventricular pacing-pro and contra.","For patients with heart failure (HF) and bundle branch block, cardiac resynchronization therapy (CRT) by biventricular pacing (BiVP) has been found effective and has been widely used for around 20 years. The effects of BiVP are well documented in a row of large randomized controlled trials (RCTs) with long-term follow-up to include prolonged survival, less HF hospitalizations, and better quality of life for the patients. More recently, conduction system pacing (CSP) as His bundle pacing or left bundle branch area pacing has been introduced for CRT and shown to in best cases establish a normal or near-to-normal electrical activation of the left ventricular myocardium. Data from large RCTs documenting the beneficial effects of CSP are awaited. Currently, the question is to what extent the contemporary literature supports a transition from BiVP to CSP for CRT in patients with HF and bundle branch block. This Europace Controversy article presents opposing viewpoints on this topic. H.B., M.J., and J.J. argue in favour of CSP being superior to BiVP. Conversely, C.L., N.B., and J.C.D. advocate for BiVP still being the first choice for CRT. This Controversy aims to present data and their interpretation from different expert perspectives on an important topic in CRT for HF.","Burri Haran"
"41325775","2025","SPECT-derived myocardial perfusion and viability as predictors of response to left bundle branch pacing for cardiac resynchronization therapy.","N/A","Jiang Zhongwei"
