PMID,Year,Title
42162775,2026,"Clinical Validation of an In-Silico Pace Mapping Approach to Localize both Focal and Reentrant Ventricular Arrhythmias in Patients with Structural Heart Disease."
41672211,2026,"Linking the heart-eye-brain axis: Ocular and cerebral blood flow changes after catheter ablation in atrial fibrillation."
41672210,2026,"Hypertrophic cardiomyopathy caused by filamin-C variants has restrictive and extracardiac features and a distinctive ECG."
41662985,2026,"Clinical features and outcome of arrhythmogenic cardiomyopathy because of a desmoglein-2 founder variant: A multicenter study."
41655668,2026,"EpiCOepicardial access: Effective, safe, and&#x2026; fast?"
41655667,2026,"A novel predictive model for left atrial low-voltage areas in paroxysmal atrial fibrillation."
41655666,2026,"Blood pressure and the risk of stroke in young patients with atrial fibrillation."
41655665,2026,"High-frequency areas as an electrophysiological clue for accessory pathway ablation: Characterizing spatial dissociation with peak frequency mapping."
41655664,2026,"Trends in ventricular arrhythmia-related mortality in the United States from 1979 to 2024: A CDC WONDER analysis."
41655663,2026,"Impact of linear ablation in persistent atrial fibrillation using a dual-energy, wide-footprint catheter: Analysis from the SPHERE Per-AF randomized trial."
41644080,2026,"Frailty in patients undergoing percutaneous left atrial appendage closure: The Frail-LAAC study."
41644079,2026,"Ultrasound-guided S-ICD implantation: A proof-of-concept study."
41644078,2026,"Association between epicardial adipose tissue characteristics and ventricular fibrillation in Brugada syndrome."
41644077,2026,"Chemical and genetic knockout identifies KCNQ2 as the principal background voltage-gated potassium current in human embryonic kidney 293 cells."
41638618,2026,"Interatrial block in hypertrophic cardiomyopathy: Associations with left atrial remodeling and adverse atrial outcomes."
41617260,2026,"Top stories on cardiac gene therapy delivery."
41672212,2026,"Impact of atrial fibrillation ablation on biatrial strain: Differences between left and right atrial function."
41679447,2026,"Arrhythmia substrates accessible from the aortic root and immediate sub-aortic areas: Mapping and ablation."
41679448,2026,"HRS/ISACHD/PACES scientific statement on provider and institutional best practices for comprehensive adult congenital heart disease electrophysiology programs."
41679449,2026,"Stylet-in-sheath: A new solution to an old problem?"
41759864,2026,"Sex differences in recurrence after linear ablation for persistent atrial fibrillation."
41759863,2026,"Reassessing stroke prevention after atrial fibrillation ablation: Lessons from OCEAN, ALONE-AF, and OPTION trials."
41748053,2026,"Persistent right ventricular conduction delay and low injury current during left bundle branch pacing."
41748052,2026,"Incidence, predictors, and outcomes of atrial fibrillation and stroke after heart transplantation."
41748051,2026,"A novel biatrial resynchronization strategy: Pacing the Waterston's groove muscular strand area."
41748050,2026,"Pregnancy-driven sensing alterations in the subcutaneous ICD: Cautionary clinical observations."
41740823,2026,"Integrated mapping-guided superior vena cava isolation with single-shot pulsed field ablation systems: Feasibility, workflow, and safety in a real-world patient cohort."
41617259,2026,"The first evidence that implantable defibrillators are effective and reliable for prevention of sudden death in hypertrophic cardiomyopathy."
41740822,2026,"Histopathology of the atrial tissue after pulsed-field ablation: A subacute-phase lesion in an autopsy heart."
41720436,2026,"Modeling myotonic dystrophy type 1 with hiPSCs-derived cardiac organoids reveals key disease mechanisms."
41713759,2026,"Pulsed field ablation for atrial fibrillation with a balloon-in-basket system under conscious sedation: A retrospective feasibility and safety analysis."
41707765,2026,"Mavacamten-like myosin inhibitor MYK-581 reduces the risk of atrial fibrillation induction in a murine model of hypertrophic cardiomyopathy."
41698624,2026,"A novel electrocardiographic risk score for sudden cardiac arrest in patients with atrial fibrillation: The SCAAF-ERS."
41692287,2026,"Flecainide use before and after the Cardiac Arrhythmia Suppression Trial: A systematic review."
41690439,2026,"2026 HRS/EHRA scientific statement on pulsed field ablation for cardiac arrhythmias."
41679450,2026,"Response to the letter to the editor entitled ""Stylet-in-sheath: A new solution to an old problem?""."
