PMID,Year,Title,Abstract,FirstAuthor
"41655667","2026","A novel predictive model for left atrial low-voltage areas in paroxysmal atrial fibrillation.","Left atrial low-voltage areas (LVAs), indicative of atrial fibrosis and structural remodeling, are present in a subset of patients with paroxysmal atrial fibrillation (AF).

This study aimed to develop and validate a novel predictive model for identifying LVAs in patients with paroxysmal AF.

Patients with paroxysmal AF receiving their initial radiofrequency ablation in the Department of Cardiology at Shanghai East Hospital were enrolled. LVAs were defined as regions with a bipolar voltage of <0.5 mV during left atrial voltage mapping. Logistic regression analysis was used to identify independent predictors and construct the prediction model. An independent prospective cohort and a multicenter cohort of patients with paroxysmal AF were used for validation.

A total of 383 patients with paroxysmal AF were enrolled, of whom 104 patients (27.2%) had left atrial LVAs. Multivariate logistic regression analysis identified that female sex, prior stroke, left atrial diameter, PR interval, hemoglobin level, and serum creatinine level were independent predictors of LVAs. The HeSLeF-PC (Hemoglobin, Stroke, Left atrial diameter, Female, PR interval, Creatinine) score was developed on the basis of these factors, which could predict the presence of left atrial LVAs in patients with paroxysmal AF (area under the receiver operating characteristic curve [AUROC] 0.810; 95% confidence interval [CI] 0.762-0.859) and was further validated in the prospective cohort (AUROC 0.826; 95% CI 0.757-0.896) and the multicenter cohort (AUROC 0.767; 95% CI 0.678-0.857). Decision curve analysis confirmed its clinical utility.

The HeSLeF-PC score could effectively predict the presence of left atrial LVAs in patients with paroxysmal AF and may assist in preprocedural risk stratification and ablation planning.","Zhang Baowei"
"41887449","2026","The role of His-Purkinje system activation in preventing malignant reentrant ventricular arrhythmias during left bundle branch area pacing: Reverse electrical remodeling or restored left ventricular activation?","Mechanistic differences in arrhythmia vulnerability between left bundle branch area pacing (LBBAP) and biventricular pacing (BiVP) are unclear.

Using computational models and clinical cases for hypothesis-generating support, we investigated whether reverse electrical remodeling or restored left ventricular (LV) activation from LBBAP lowers arrhythmia vulnerability.

In a human biventricular model with combinations of electrical remodeling from heart failure (HF), left bundle branch block (LBBB), and lateral LV scar, we compared LV activation during His pacing (HisP) with selective LBBAP, nonselective LBBAP, and BiVP. Arrhythmia vulnerability windows (AVWs) were constructed for reentries lasting >2 seconds induced using a clinical S1S2S3 protocol. S1 pacing was administered to the HisP, LBBAP, or BiVP locations, followed by Single S2 and S3 pulses delivered to the LV endocardial apex. Arrhythmia outcome was compared with LBBAP in patients with a history of ventricular arrhythmias.

In silico, HisP activation differed with LBBB, but not with HF or LV scar. Selective LBBAP activation in the LV myocardium and His-Purkinje system resembled HisP, whereas nonselective LBBAP and BiVP did not. Sustained reentry was observed only in HF models. Compared to HisP, LBBAP reduced AVWs in HF models with LBBB by 50%-70%. Compared to BiVP, LBBAP reduced AVWs in all HF models by 14%-55%. In patients with and without conduction abnormalities or LV scar, LBBAP reduced ventricular arrhythmia burden at >6-month follow-up.

Simulations suggest that LBBAP lowers arrhythmia vulnerability by restoring LV activation after LBBB and/or reversing electrical remodeling in patients with HF. Clinical validation through prospective studies is required.","Bayer Jason"
"41933633","2026","Improving transthyretin cardiac amyloidosis detection from electrocardiograms through the Willem artificial intelligence platform.","Transthyretin amyloid cardiomyopathy (ATTR-CM) is a frequently underdiagnosed disease in which delay in diagnosis limits the efficacy of treatments. Artificial intelligence (AI) applied to standard 12-lead electrocardiograms (ECGs) is promising and may help improve ATTR-CM early detection.

The goals of this study were to extend the Willem AI cloud platform for ATTR-CM detection from 12-lead ECGs and to evaluate its performance across relevant patient subgroups, including early-stage disease.

This was a single-center retrospective study of adults evaluated for ATTR-CM. Controls had negative 3,3-diphosphono-1,2-propanodicarboxylic acid scintigraphy and clinical assessment to exclude ATTR-CM. After quality control, 20,754 ECGs from 2901 individuals [585 patients with ATTR-CM (20.2%) and 2316 controls (79.8%)] were used. Patients were split into training/validation and test data sets, with stratification by amyloidosis status, sex, and age groups. A time-slicing convolutional neural network generated ECG probabilities aggregated by max-pooling. Threshold selection targeted 90% sensitivity in validation.

In the test cohort, Willem AI achieved an area under the receiver operating characteristic curve (AUC) of 0.88 (95% confidence interval, 0.85-0.91), a sensitivity of 80.7%, and a specificity of 78.5%. Performance was similar for hereditary transthyretin amyloidosis or hereditary ATTR (ATTRv; AUC, 0.91) and wild-type transthyretin amyloidosis or wild type ATTR (ATTRwt; AUC, 0.88) and remained informative in early presentations (asymptomatic sensitivity 68.4%; New York Heart Association class I 73.9%). Willem AI achieved high accuracy in ""red-flag"" scenarios: carpal tunnel syndrome (AUC, 0.92), lumbar spinal stenosis (AUC, 0.92), and polyneuropathy (AUC, 0.91).

This work expands Willem AI capabilities, enabling automated ATTR-CM detection from routine 12-lead ECGs in a real-world referral population. The Willem AI model may support informed clinical management and scalable triage to trigger confirmatory testing and accelerate diagnosis.","Gonz&#xe1;lez-L&#xf3;pez Esther"
"41513060","2026","Left ventricular subendocardial pacing provides the same left ventricular synchrony and work efficiency as direct left bundle branch capture.","Left ventricular (LV) septal myocardial pacing (LVSP) is present in the areas where left bundle branch (LBB) capture is not feasible with high pacing output (general LVSP), or in LV subendocardial locations, where it transits from LBB pacing (LBBP) during the decremental output pacing (LV subendocardial pacing [LVSeP]).

This study aimed to compare electrical ventricular synchrony and acute hemodynamic response between LBBP and LVSeP.

Consecutive cardiac resynchronization therapy (CRT) patients with transition from nonselective left bundle branch capture to LVSeP during decremental output pacing were enrolled. Ventricular dyssynchrony was assessed using ultra-high-frequency electrocardiogram. The acute hemodynamic response was assessed using a high-precision hemodynamic protocol with invasive measurements of systolic blood pressure. An invasive intracardiac mapping of the left ventricular septum was performed during both captures.

The study included 21 patients. LVSeP and LBBP had the same QRS duration (159 &#xb1; 18 ms vs 151 &#xb1; 15 ms, P = .26), but LVSeP had a longer V6RWPT (98 &#xb1; 13 ms vs 79 &#xb1; 12 ms, P < .001) and post-pacing isoelectric interval (48 &#xb1; 9 vs 39 &#xb1; 9, P < .001). However, no significant difference was observed in LV synchrony (14 &#xb1; 5 ms vs 16 &#xb1; 6 ms, P = .21) and average systolic blood pressure (121 &#xb1; 18 mmHg vs 122 &#xb1; 17 mmHg, P = .78). Intracardiac mapping of one patient showed that both LVSeP and LBBP activated the LV septum at the recording site via the His-Purkinje system.

In CRT candidates, LVSeP preserved LV synchrony and acute hemodynamic response at the same level as direct LBBP. Further clinical research is warranted to better understand the differences between various types of left septal pacing.","Poviser Lukas"
"41956270","2026","Multicenter validation of an artificial intelligence-enabled ECG model to predict 1-year risk of atrial fibrillation or flutter.","Atrial fibrillation (AF) is the most common cardiac arrhythmia associated with an increased risk of stroke and heart failure. AF is often asymptomatic and paroxysmal, making diagnosis challenging. Artificial intelligence (AI) applied to electrocardiogram (ECG) interpretation is a promising approach for improved diagnosis. Although ECG-AI studies have shown promise, the common practice of evaluating based on data from single institutions may overestimate performance. External validation is essential to ensure that AI models generalize well to diverse settings and populations.

This study aimed to externally validate an ECG-AI model for predicting 1-year AF risk.

In this retrospective study, ECG data from 3 clinical sites were aggregated and patients' charts were manually abstracted to define inclusion and exclusion criteria (age 65+ years with no previous AF or history of pacer/defibrillator use) and endpoints (new AF diagnosis within 1 year or 1 year of AF-free follow-up). The sensitivity and specificity of a risk score from an ECG-AI model were evaluated against prespecified minimum values of 20% and 85%, respectively.

The analysis included 4017 patients, with 240 (6.0%) developing AF within 1 year. The ECG-AI model returned an ""increased risk"" result for 391 patients (9.7%), including 74 who developed AF (sensitivity 31%; 95% confidence interval 25-37). A total of 3626 patients had a ""no increased risk"" result, with 3460 remaining free from AF (specificity 92%; 95% confidence interval 91-92).

The results validate the performance of the Tempus ECG-AF model and support its clinical use for AF risk stratification.","Pfeifer John M"
"41973895","2026","Safety and efficacy of conduction system pacing in dual-chamber Pacemakers in a CRT-indicated population: Primary analysis of the CORE-CPP study.","Cardiac resynchronization therapy (CRT) with bi-ventricular pacing (BVP) is a well-established therapy in patients with heart failure with reduced ejection fraction (HFrEF). Conduction system pacing (CSP) has been proposed as an alternative to conventional BVP for HFrEF.

The purpose of the Characterizing Outcomes and Real-World Experience of Cardiac Physiologic Pacing (CORE-CPP) study was to use real-world evidence to assess the safety and efficacy of CSP with dual-chamber pacemakers in comparison with CRT in patients with an indication for CRT.

This study used 2017-2023 Medicare claims data linked to manufacturer device registration data to identify CRT-indicated patients implanted with a dual-chamber pacemaker with a CSP lead or a traditional bi-ventricular CRT pacemaker (CRT-P). The primary objectives were to determine CSP non-inferiority to CRT-P in 30-day acute complications and reinterventions, and in 12-month heart failure hospitalizations (HFH). Secondary outcomes included all-cause mortality, all-cause mortality + HFH, and reinterventions at 12 months.

The study cohort included 2207 CSP and 5693 CRT-P de novo patients. CSP was non-inferior to CRT-P on 30-day complications and reinterventions (adjusted [adj.] odds ratio [OR] 0.92, P = .379; OR &#x2265;1.5 1-sided P < .001) and on 12-month HFH (adj. hazard ratio [HR] 0.89, P = .161; HR &#x2265;1.5 1-sided P < .001). CSP patients had lower all-cause mortality (adj. HR 0.72, P < .001) and all-cause mortality + HFH (adj. HR 0.82, P = .003) than CRT-P patients. There were no differences in reintervention rates between CSP and CRT-P.

In a real-world cohort, CSP via a single ventricular lead was non-inferior to CRT-P therapy in patients indicated for CRT. CSP was associated with lower all-cause mortality and all-cause mortality + HFH.","Witte Klaus K"
"41966386","2026","Radiofrequency current-facilitated implantation of left bundle branch pacing lead for cardiac resynchronization therapy.","Fibrosis within the interventricular septum hinders the implantation of left bundle branch pacing (LBBP) lead, particularly in candidates for cardiac resynchronization therapy (CRT).

This study aimed to report the acute and follow-up outcomes of pacing lead implantation using radiofrequency (RF) current delivered to the lead tip for septal electrosection in challenging LBBP cases.

Data on lead deployment success, RF power and delivery time, complications, lead stability, proarrhythmia, current of injury, and pacing parameters were collected acutely and at the final follow-up.

A total of 37 RF-facilitated lead implantations in 36 patients (average age 71.6 &#xb1; 8.8 years), most of whom were CRT eligible (89%), were analyzed. On average, 2.1 &#xb1; 1.7 RF applications (resulting in 2.6 &#xb1; 2.2 seconds of RF) were used per implantation with a median power of 27 W. RF delivery was used in 85.7% of cases to achieve a current of injury drop that could not be obtained with manual lead rotation alone. Lead implantation was successful in all but 2 cases. The mean follow-up duration was 236 &#xb1; 165 days. Lead performance, including pacing parameters and lead stability, was good and did not seem to be affected by RF use (follow-up threshold 0.8 &#xb1; 0.3 V; sensitivity: 12.0 &#xb1; 5.6 mV). 1 patient experienced sustained ventricular tachycardia, and in all other cases, proarrhythmia was absent or self-limited. No other complications were noted.

RF-facilitated LBBP lead implantation is a feasible technique with potential cautious use as a bailout in selected cases, especially for failed CRT delivery.","Jastrz&#x119;bski Marek"
"41932670","2026","Paced QRS morphology and lead location in left bundle branch area pacing assessed by photon-counting cardiac computed tomography.","The relationship between the intra-septal lead position in left bundle branch area pacing (LBBAP) and paced QRS morphology remains incompletely understood. We used ultra high-resolution photon-counting computed tomography (PC-CT) to evaluate lead-tip location.

We retrospectively analyzed 20 patients who underwent contrast-enhanced PC-CT after LBBAP implantations (9 with left bundle branch pacing [LBBP], 9 with left ventricular septal pacing [LVSP], and 2 with deep septal pacing [DSP]).

Distances from the lead-tip to the LV and right ventricular (RV) endocardium (lead-tip to LV/RV), lead-tip to the presumed His bundle, and interventricular septal thickness were assessed.

The lead-tip to LV was significantly shorter in the LBBP group than in the other groups (LBBP: 1.8 &#xb1; 1.5 mm vs LVSP: 4.1 &#xb1; 1.4 mm vs DSP: 6.4 &#xb1; 0.4 mm, P < .01), with no significant differences in other anatomical parameters. Receiver operating characteristic analysis identified 3.2 mm as the optimal cutoff for LBB capture (area under the curve, 0.91; sensitivity, 100%; specificity, 81.8%). An initial q wave in lead V6 was observed exclusively in patients with a lead-tip to LV &#x2264;3.2 mm (54.5% vs 0%, P < .01). The V1 R-wave peak time (V1RWPT) showed a moderate positive correlation with the lead-tip to RV (r = 0.636, P < 0.01). Pre-procedural echocardiographic septal thickness significantly underestimated the septal thickness at the penetration site (10.0 &#xb1; 1.9 mm vs 12.5 &#xb1; 3.8 mm, P < .01).

A lead-tip to LV distance &#x2264;3.2 mm predicted LBB capture. An initial q wave in lead V6 may serve as a marker of lead positioning. V1RWPT was partially influenced by the lead-tip to RV.","Goto Kentaro"
"41748053","2026","Persistent right ventricular conduction delay and low injury current during left bundle branch pacing.","N/A","Zheng Nan"
"41525968","2026","External validation of an explainable electrocardiogram-only deep learning algorithm for the prediction of response after cardiac resynchronization therapy.","Cardiac resynchronization therapy (CRT) can improve clinical outcomes in patients with dyssynchronous heart failure, but many patients selected according to the current guidelines do not respond.

This study aimed to externally validate an explainable deep learning algorithm (the FactorECG algorithm) for predicting response after biventricular pacing.

We previously trained a deep learning algorithm on >1 million electrocardiogram (ECG) median beats to learn the underlying generative factors of the ECG and applied it to 1306 patients with CRT from the Netherlands. Using the extracted 21 explainable factors, a model predicting the risk of volumetric nonresponse and poor clinical outcomes was developed. In the present analysis, this model was externally validated in a cohort of 161 patients with CRT from the University of Virginia for volumetric nonresponse only. Subsequently, the added value of clinical and cardiac magnetic resonance imaging-derived predictors was investigated.

The original model significantly outperformed American Heart Association criteria for left bundle branch block for the prediction of nonresponse {C-statistic 0.67 (95% confidence interval [CI] 0.59-0.76) vs 0.51 (95% CI 0.41-0.60), respectively}. A refitted FactorECG-based model performed similarly to a model also integrating indices of mechanical dyssynchrony (C-statistic 0.74 [95% CI 0.66-0.82] vs 0.70 [95% CI 0.62-0.77], respectively). A combination of both models improved response prediction (C-statistic 0.79 [95% CI 0.71-0.85]).

In this external validation study, an explainable ECG-only algorithm for the prediction of nonresponse after CRT device implantation generalized well to a lower-risk population from a different hospital. Adding indices of mechanical dyssynchrony and right ventricular function might be of additional value when evaluating volumetric response.","van de Leur Rutger R"
"41796949","2026","To the editor- The era of lumenless defibrillation leads in conduction system pacing: Looking beyond implantation success to lead extraction.","N/A","Migliore Federico"
"41759872","2026","Effect of lead body and helix design variables on implantation success, insertion depth, and muscle torque in the left bundle branch area: Insights from an ex vivo porcine model.","Lumenless and stylet-driven leads used for left bundle branch area pacing differ in design and have a significant implantation learning curve. Although previous studies examined longer helices for deep-septal pacing, the influence of other design variables remains unclear.

This study aimed to evaluate how helix design and axial force affect interventricular septum insertion efficacy.

Rigid leads were developed using helical coils with variable outer diameter, number of turns, and pitch. Porcine septa (n = 16) were clamped perpendicularly for insertion using an optimized rotation-response system. Leads were tested under low (30g) and high (60g) axial force conditions to represent lumenless and stylet-driven leads, respectively, and a fixed number of rotations were delivered at a constant rate. Each helix design (n = 8) was tested 3&#xd7; per axial force at 3 septal sites. Insertion depth, muscle torque, and visual feedback were recorded. Insertion was successful if the depth exceeded coil length without surface entanglement. Effects of design factors were compared.

At 30g, more helix turns significantly improved insertion success (P = .04), whereas fewer turns frequently produced entangled failure (P = .04) marked by high torque variability (P < .001). Smaller-pitch helices trended toward higher torque and success, whereas a larger pitch achieved greater depth (P = .05). Larger outer diameters also trended toward higher torque and improved success at 30g. At 60g, the influence of helix design variable diminished and consistently yielded higher values than at 30g.

An optimized lead rotation-to-translation system elucidates how helix geometry and axial force interact during septal insertion. These interactions are explainable using an intuitive mechanical framework, which helps optimize lead design.","Shah Ankur R"
"41881370","2026","Electrophysiological predictors of super-response to left bundle branch area pacing in nonischemic cardiomyopathy: The PRECISION LBBAP study.","Left bundle branch area pacing (LBBAP) is an emerging alternative to biventricular pacing for cardiac resynchronization therapy (CRT), but variability in response remains poorly understood.

This study aimed to assess differences in cardiac activation between super-responders and partial responders to LBBAP and identify electrophysiological predictors of response using noninvasive electrocardiographic imaging.

Patients with nonischemic cardiomyopathy and left bundle branch (LBB) block (QRS >130 ms) who underwent LBBAP were enrolled. 10 super-responders (&#x2265;20% improvement in left ventricular [LV] ejection fraction) and 10 partial responders (<10% improvement) were matched 1:1. electrocardiographic imaging (CardioInsight, Medtronic) was performed during intrinsic rhythm (CRT-off) and during unipolar pacing (CRT-on) at 2 V and 0.4 ms. Changes in biventricular total activation time, LV activation time (LVtat), and ventricular electrical uncoupling were assessed.

Compared with partial responders, super-responders exhibited significantly greater reductions in LVtat (mean difference 15.2 ms; 95% confidence interval 3.4-27.1; P = .015) and biventricular total activation time (29.0 [interquartile range {IQR} 22.0-39.8] vs 16.5 [IQR 3.0-27.0] ms; P = .045), alongside superior ventricular electrical uncoupling improvement (55.7% [IQR 39.0-67.0] vs 5.8% [IQR -18.0 to 35.5]; P = .014). Confirmed LBB capture was associated with substantially greater reduction in LVtat than LV septal capture (33.2 &#xb1; 10.4 ms vs 13.1 &#xb1; 9.9 ms; P < .001); consequently, an LVtat reduction of &#x2265;26.86% predicted LBB capture with high accuracy (area under the curve 0.96; 83% sensitivity; 100% specificity). Confirmed LBB capture conferred 7.4-fold higher odds of super-response in Bayesian regression.

Super-response to CRT via LBBAP was associated with greater reductions in ventricular dyssynchrony. The presence of definitive LBB capture emerged as a strong predictor of super-response, emphasizing the mechanistic relevance of conduction system engagement for optimizing CRT outcomes.","Shroff Jenish P"
