"PMID","Year","Title","Abstract","FirstAuthor"
"42047422","2026","Artificial Intelligence and Biological Age: How Many Years Young Are You?","N/A","Kadiyala"
"42029372","2026","Left Bundle Branch Area Pacing: Does Lead Position Matter?","N/A","Burri"
"41995655","2026","His Bundle Pacing for Cardiac Resynchronization Therapy: Physiological Elegance Meets Clinical Reality.","N/A","Cano"
"41973899","2026","His Pacing vs Biventricular Pacing for Cardiac Resynchronization Therapy: Long-Term Follow-Up From the His-Alternative I Trial.","The His-Alternative I (A Randomized Trial of His Pacing Versus Biventricular Pacing in Symptomatic Heart Failure Patients With Left Bundle Branch Block) trial was the first randomized European trial to compare cardiac resynchronization therapy (CRT) delivered by His bundle pacing (His-CRT) vs CRT delivered by conventional biventricular pacing (BiV-CRT). The goal of this study was to compare long-term lead performance, survival, and echocardiographic response between His-CRT and BiV-CRT. A total of 50 patients with symptomatic heart failure (HF), left ventricular ejection fraction ≤35%, and left bundle branch block were randomized 1:1 to undergo His-CRT or BiV-CRT. Following crossover at implantation, 19 patients received His-CRT and 31 received BiV-CRT. The primary analyses were conducted by these groups, with 5 years of follow-up. Outcomes included the occurrence of reinterventions, an endpoint of all-cause mortality or hospitalization for HF, and echocardiographic response (≥15% reduction in left ventricular end-systolic volume compared with baseline). The median follow-up was 5.3 years (Q1-Q3: 4.6-5.7 years). More lead revisions (37% vs 3%; P = 0.003) and generator replacements (47% vs 10%; P = 0.005) occurred in the His-CRT group compared with the BiV-CRT group. However, no statistically significant differences in reinterventions and threshold development over time were observed between the His-CRT patients with implantation thresholds ≤2.5 V/1 millisecond and the BiV-CRT group. The risk of all-cause mortality or hospitalization for HF was similar between groups (HR: 0.32; 95% CI: 0.07-1.49; P = 0.147), and echocardiographic response was comparable between the 2 groups (89% in His-CRT and 90% in BiV-CRT; P = 1.0). No statistically significant difference in long-term performance was detected between His-CRT with low implantation thresholds and BiV-CRT, and echocardiographic response was comparable.","Frandsen"
"41954553","2026","LBBAP Is Not LBBP.","N/A","Joza"
"41860505","2026","Long-Term Outcomes and Safety of His-Purkinje Conduction System Pacing in China: The ChiCSP Study.","Conduction system pacing (CSP), including His bundle pacing (HBP) and left bundle branch area pacing (LBBAP), offers a physiological alternative to conventional pacing. However, current evidence is limited by small sample sizes, short follow-up, and inconsistent LBBAP definitions. This study evaluated the long-term outcomes, safety, and lead performance of CSP in a large multicenter cohort, and provided a precise LBBAP classification for investigating its impact on clinical outcomes. This prospective registry-based study included patients receiving CSP at 5 Chinese centers from 2019 to 2021. LBBAP was classified as left bundle branch pacing (LBBP), left ventricular septal pacing (LVSP), or unclassified LBBAP based on the presence, absence, or uncertainty of left bundle branch capture. Pacing and clinical outcomes were analyzed. Of 3,336 enrolled patients, 3,167 successfully received CSP (557 HBP, 2,610 LBBAP), with a mean follow-up of 41.3 ± 14.0 months. LBBAP comprised LBBP (84.2%), unclassified (12.5%), and LVSP (3.3%). In patients with LBBB and heart failure with reduced ejection fraction, LBBP and HBP achieved the greatest LVEF improvements (+20.7% and +21.9%), while LVSP showed the least (+12.1%). LVSP was associated with higher mortality or heart failure hospitalization (33.3%) compared with LBBP (8.6%) and unclassified LBBAP (15.4%). Threshold increases ≥1 V/0.5 ms occurred in 5.03% HBP vs 1.80% LBBAP (P < 0.001). Procedural complications (excluding threshold rise) occurred in 1.3% of both groups. CSP demonstrated long-term safety and stability. Subclassification of LBBAP enhances clinical precision, with LBBP capture yielding a higher positive clinical outcomes and LVSP with inferior outcomes, especially in cardiac resynchronization therapy patients.","Huang"
"41817497","2026","Left Bundle Branch Area Antitachycardia Pacing Improves Success Rate Compared to Right Ventricular Antitachycardia Pacing.","Antitachycardia pacing (ATP) therapy applies a sequence of pacing pulses to terminate ventricular tachycardia (VT). Clinically, left bundle branch area (LBBA) pacing has emerged as a novel way to induce synchronous ventricular activation. The main aim of this study was to compare the efficacy and safety of ATP delivered to an LBBA lead and a conventional right ventricular (RV) lead. Using a preclinical animal model (n = 7), pacing leads were implanted in the RV apex and LBBA and connected to implantable cardioverter-defibrillators. The left anterior descending artery was occluded for 2 hours to cause an ischemia-reperfusion injury. Four days following ischemia-reperfusion injury, VT episodes were induced using programmed pacing, and burst ATP therapy was delivered to the RV/LBBA leads for each VT episode. Activation sequences from an implanted basket catheter were determined for the pretherapy VT and ATP beats. VT was induced 80 times, with a mean VT cycle length of 180.0 ± 30.0 milliseconds. ATP delivered to the LBBA terminated VT more often than RV ATP (70.2% vs 47.3%; P = 0.040). There was no significant difference in VT acceleration or ventricular fibrillation induction. The number of ATP pulses required for the activation sequences to correlate with the captured ATP pattern rather than the pretherapy VT pattern was lower for LBBA compared to RV ATP (4.1 vs 5.1 pulses; P = 0.047). Improved performance of LBBA compared to RV ATP provides an incentive for future clinical studies in patients who are at risk of sudden cardiac death.","Offei"
"41790087","2026","Electrocardiogram-Based Artificial Intelligence to Predict Recurrence After Cardioversion for Newly Diagnosed Atrial Fibrillation.","N/A","Usuda"
"41790086","2026","Exploring Mechanical Synchrony and Myocardial Work Across Different Pacing Locations Within the Left Bundle Branch.","Left bundle branch pacing (LBBP) enables physiological activation by capturing the left conduction system at various sites. However, whether mechanical synchrony and efficiency vary depending on the pacing location remains unclear. The study aim was to evaluate whether left ventricular (LV) mechanical performance varies among different LBBP sites and whether paced mechanical synchrony replicates intrinsic LV activation across locations. This prospective cohort study included 114 patients with preserved LV ejection fraction who received LBBP for bradycardia indications. At follow-up, echocardiographic analysis included strain-derived and myocardial work parameters. In patients with intrinsic rhythm, within-patient comparisons between intrinsic and paced beats were performed. Central LBB capture (left bundle trunk or septal fascicle pacing) was achieved in 60 patients of 106 patients (56.6%) and peripheral LBB capture (left posterior or left anterior fascicle pacing) in 46 of 106 patients (43.4%). No significant differences in global longitudinal strain or myocardial work indices (global work index, global constructive work, global wasted work, or global work efficiency) were found between central and peripheral LBB captures. Compared with intrinsic rhythm, LBBP did not lead to significant differences in global work efficiency, global work index, global constructive work, or global wasted work, and the echocardiographic changes from intrinsic to paced rhythm were similar between study groups. In patients with preserved LV ejection fraction, mechanical synchrony and work efficiency were similar across LBB pacing sites. These findings support a pragmatic approach centered on achieving conduction system capture rather than targeting specific anatomical locations.","Tapia Martínez"
"41498721","2025","From Algorithm to Bedside: Making AI Models Clinically Meaningful.","N/A","Holmström"
