PMID,Year,Title
42189456,2026,"Cardiac resynchronization in heart failure with mildly reduced ejection fraction and electrical dyssynchrony without primary indication for pacing: A systematic review and meta-analysis."
42189455,2026,"Catheter ablation of atrial fibrillation in patients with heart failure - preserved and reduced ejection fraction - real world evidence."
42176136,2026,"Catheter ablation of epicardial premature ventricular complexes in patients with and without cardiac scar."
42168507,2026,"Lattice-tip dual energy ablation creates effective ventricular lesions through transmural scar that might inadvertently increase lead capture thresholds on the opposing surface."
42166088,2026,"A surgical epicardial approach to mapping and ablation in large animal models."
42166087,2026,"Atrial fibrillation ablation using real-time three-dimensional transesophageal echocardiography as the primary intraprocedural imaging modality: a single-center feasibility study."
42154362,2026,"Right ventricular function after left bundle branch area pacing versus right ventricular pacing: a prospective evaluation."
42149320,2026,"Same-day discharge versus overnight stay after catheter ablation for atrial fibrillation: a systematic review and meta-analysis."
42133278,2026,"Clinical significance of presystolic wave attenuation in patients with paroxysmal atrial fibrillation."
42118507,2026,"Near-field substrate analysis in ventricular tachycardia: a novel approach to identify the critical isthmus."
42118506,2026,"The utility of high-frequency jet ventilation in pulsed field ablation for atrial fibrillation."
42118505,2026,"Genetic variant spectrum in patients with reflex syncope and vagally mediated atrioventricular block undergoing cardioneuroablation."
42113327,2026,"Outcomes of endocardial versus endo-epicardial catheter ablation for ventricular arrhythmia in patients with arrhythmogenic right ventricular cardiomyopathy: a meta analysis."
42105195,2026,"A prospective multicenter study of left bundle branch area pacing using stylet-driven lead: insights into capture types, delivery curve selection, and procedural failure."
42101804,2026,"Impact of catheter design on lesion dimensions during focal-bipolar pulsed field ablation: an in vitro potato model study."
42101803,2026,"Focal pulsed field ablation for atrial tachycardia near the phrenic nerve: a two-case experience."
42095983,2026,"Peak frequency annotation algorithm-guided slow pathway ablation enables lesion delivery farther from the His bundle in typical atrioventricular nodal reentrant tachycardia."
42089937,2026,"PARALLEL-VT: A pilot study of simultaneous multi-wavefront left ventricular mapping for identification of critical ablation sites."
42089936,2026,"Epicardial muscle bundles in persistent atrial fibrillation: from overlooked bystanders to arrhythmogenic modulators."
42068500,2026,"Extravascular versus subcutaneous ICD: a propensity score-matched analysis of procedural outcomes."
42068499,2026,"Potential role of a novel dual energy lattice-tip catheter in re-ablation of recurrent premature ventricular contractions: a case series."
42060067,2026,"Differential effects of right atrial ablation sites on vagal modulation of the sinus node during cardioneuroablation."
42053748,2026,"Very high acute pacing thresholds during atrial leadless pacemaker implantation: Feasibility of a current-of-injury-guided release strategy."
42053747,2026,"Ventricular lead positioning within the left conduction system in permanent cardiac pacing: a systematic review and meta-analysis."
42033512,2026,"Ablation of atypical flutter using a dual-energy lattice-tip focal catheter and integrated mapping system: Addressing target tissue-form factor mismatch."
42033511,2026,"Postoperative antibiotic prophylaxis following cardiac implantable electronic device implantation and the risk of device infection."
42033510,2026,"Left bundle branch area pacing preserves mechanical strain and synchrony compared to right ventricular apical pacing in an acute paired preclinical model."
42029876,2026,"Zero/Low-fluoroscopy pulsed-field ablation approach: a systematic review and meta-analysis."
42020833,2026,"Percutaneous renal sympathetic denervation combined with empirical Purkinje de-networking for electrical storm in congenital long QT syndrome after cardiac sympathetic denervation: a case report with two consecutive patients."
42018059,2026,"Bridging anatomy and function in ischemic VT: CT wall-thickness and coherent mapping insights."
42018058,2026,"Advancements in mapping, cardiac imaging, and ablation techniques for the management of ventricular tachycardias."
42012742,2026,"Concurrent SVT and atrial fibrillation ablation using a dual-energy linear ablation catheter."
42012741,2026,"Adverse events after catheter ablation of atrial fibrillation: a comprehensive nationwide cohort study."
42008055,2026,"Cardioneuroablation versus cardiac pacemaker in the management of dominant cardioinhibitory vasovagal syncope: a retrospective cohort study."
41999465,2026,"Artificial intelligence-guided pulsed field ablation for persistent atrial fibrillation: automated peak frequency mapping predicts termination sites and durable rhythm control."
41999464,2026,"Comparison of very high-power short-duration and ablation index guided catheter ablation for cavotricuspid isthmus block."
41996015,2026,"Feasibility and safety of left bundle branch area pacing in patients with surgical VSD closure."
41991894,2026,"Outcomes after ventricular tachycardia ablation in patients with left ventricular assist device: a retrospective multicenter cohort study."
41989728,2026,"Esophageal heating characteristics of very high-power short duration radiofrequency ablation in a myocardial phantom model."
41984282,2026,"Twiddler syndrome and Reel syndrome in patients with subcutaneous implantable cardioverter-defibrillator (S-ICD): a meta-summary of case reports."
41979859,2026,"Improved outcomes of left bundle branch pacing compared to left ventricular septal pacing in patients with heart failure: a systematic review and meta-analysis."
41979858,2026,"Real-time assessment of inter and intraventricular synchrony in cardiac resynchronization therapy with left bundle branch pacing using ECGi and low-frequency QRS analysis."
41973285,2026,"The trident approach: safety and feasibility of single perclose device for triple venous access during atrial fibrillation ablation."
41973284,2026,"Time-course changes in autonomic nervous system activity after pulsed-field ablation for paroxysmal atrial fibrillation: comparison with cryoballoon ablation."
41973283,2026,"A novel signal distribution-based approach to characterize atrial cardiomyopathy."
41973282,2026,"Subclavian chronic total occlusion angioplasty facilitates cardiac implantable electronic device upgrades: A single-center case series."
41973281,2026,"Prophylactic cavotricuspid isthmus ablation in addition to pulmonary vein isolation is associated with improved recurrence-free survival in patients aged&#x2009;>&#x2009;70 years with paroxysmal atrial fibrillation."
41973280,2026,"Electrocardiographic imaging-aided stereotactic radioablation as an alternative therapy for refractory premature ventricular complexes."
41945290,2026,"Impact of anemia prior to catheter ablation for atrial fibrillation on clinical outcomes: a U.S. retrospective cohort analysis."
41941026,2026,"Atrial electrophysiology in hypertrophic cardiomyopathy: current insights and knowledge gaps."
41926018,2026,"The impact of catheter ablation in congenital heart disease and atrial fibrillation: An updated meta-analysis."
41920426,2026,"Clinical outcomes of ischemic and non-ischemic cardiomyopathy following catheter ablation for ventricular tachycardia among elderly patients."
41915366,2026,"Very high-power short duration radiofrequency ablation to achieve pulmonary vein isolation: the AIR HPSD registry."
41915365,2026,"Venoplasty-facilitated cardiac implantable electronic device implantation and upgrade: feasibility and outcomes from a single center."
41915364,2026,"TRUST-AF: comparison of conventional SL0 sheath exchange versus direct large-bore faradrive sheath access for fluoroscopy-guided transseptal puncture in pulsed field ablation."
41910894,2026,"Correction: Intracardiac versus transesophageal echocardiography in atrial fibrillation ablation: a systematic review and meta-analysis."
41910893,2026,"Impact of atrial fibrillation catheter ablation on primary prevention ICD eligibility in heart failure with reduced ejection fraction: a systematic review and meta-analysis."
41910892,2026,"Extended follow-up of stereotactic body radiation therapy for refractory ventricular arrhythmias."
41910891,2026,"Pulsed-field ablation versus thermal ablation for atrial fibrillation: an updated systematic review and meta -analysis of randomized controlled trials and observational studies with time-to-event analysis."
41910890,2026,"Characteristics of rotational activation identified by the novel high-density ExTRa Mapping system."
41910889,2026,"Coronary artery proximity to ablation sites utilizing cardiac computed tomography coronary artery proximity to ablation sites utilizing cardiac computed tomography."
41910888,2026,"Typical, but not always easy."
41903033,2026,"Convolutional neural network for real&#x2011;time localization of ganglionated plexi from bipolar intracardiac electrograms."
41903032,2026,"The additive value of preprocedural cardiac computed tomography angiography (CCTA) planning in percutaneous left atrial appendage occlusion: a systematic review and meta-analysis."
41886189,2026,"Trial emulation of percutaneous left atrial appendage occlusion versus direct oral anticoagulants."
41886188,2026,"Understanding the mortality trends in patients with ventricular arrhythmias and congestive heart failure: a 25-year retrospective analysis from 1999 to 2024."
41886187,2026,"Pulsed-field ablation versus cryoballoon ablation in patients with atrial fibrillation: A systematic review, meta-analysis and meta-regression."
41880089,2026,"Opportunistic pulsed-field ablation of a left lateral accessory pathway during atrial fibrillation ablation."
41872573,2026,"Left Bundle Branch Area Pacing versus Right Ventricular Pacing in Cardiac Amyloidosis: the Left-Right CA study, a single center, retrospective comparative non-randomized analysis."
41872572,2026,"Feasibility, safety and outcomes of contrast-free cardiac resynchronisation therapy device implantation: a retrospective cohort comparison."
41870747,2026,"Electrocardiographic predictor of sudden cardiac death in patient with early repolarization pattern: a systematic review & meta-analysis."
41870746,2026,"The ablation of the low-voltage area in the left atrial anterior wall caused by mechanical compression from the ascending aorta: a potential strategy for terminating atrial fibrillation."
41863748,2026,"Weighted hybrid score predicts outflow tract ventricular arrhythmia origin in patients with intraventricular conduction disorders or paced rhythm: an international multicenter study."
